method,metric,config,recall@10,latency_ms,build_s
ivf,l2,nprobe=1,0.5535,0.006650209834333509,0.088
ivf,l2,nprobe=2,0.875,0.011163335002493113,0.088
ivf,l2,nprobe=4,0.9535,0.014397079939953983,0.088
ivf,l2,nprobe=8,0.978,0.02343375002965331,0.088
ivf,l2,nprobe=16,0.9915,0.03417770494706929,0.088
ivf,l2,nprobe=32,0.999,0.055727915023453534,0.088
ivf,l2,nprobe=64,1.0,0.0759143749019131,0.088
ivf,ip,nprobe=1,0.5715,0.006705420091748238,0.042
ivf,ip,nprobe=2,0.777,0.005823334795422852,0.042
ivf,ip,nprobe=4,0.886,0.007146665011532605,0.042
ivf,ip,nprobe=8,0.917,0.0064054198446683586,0.042
ivf,ip,nprobe=16,0.9425,0.010282915027346462,0.042
ivf,ip,nprobe=32,0.965,0.024713540042284876,0.042
ivf,ip,nprobe=64,0.9875,0.05164916510693729,0.042
ivf,cosine,nprobe=1,0.646,0.007647289894521236,0.037
ivf,cosine,nprobe=2,0.858,0.0063347897958010435,0.037
ivf,cosine,nprobe=4,0.957,0.006259374786168337,0.037
ivf,cosine,nprobe=8,0.971,0.009870835056062788,0.037
ivf,cosine,nprobe=16,0.98,0.010735834948718548,0.037
ivf,cosine,nprobe=32,0.9915,0.02265771006932482,0.037
ivf,cosine,nprobe=64,0.996,0.04407770495163277,0.037
hnsw,l2,efSearch=10,0.6865,0.002572920056991279,0.328
hnsw,l2,efSearch=20,0.78,0.002875625214073807,0.328
hnsw,l2,efSearch=40,0.8455,0.004458540061023086,0.328
hnsw,l2,efSearch=80,0.8895,0.007678749971091748,0.328
hnsw,l2,efSearch=160,0.912,0.017963334976229817,0.328
hnsw,l2,efSearch=320,0.92,0.028191665187478065,0.328
hnsw,ip,efSearch=10,0.799,0.0025643748813308775,0.475
hnsw,ip,efSearch=20,0.8845,0.0034924998180940747,0.475
hnsw,ip,efSearch=40,0.929,0.005607499915640801,0.475
hnsw,ip,efSearch=80,0.952,0.009759999811649323,0.475
hnsw,ip,efSearch=160,0.9665,0.019038539903704077,0.475
hnsw,ip,efSearch=320,0.976,0.037982290086802095,0.475
hnsw,cosine,efSearch=10,0.9605,0.0033474998781457543,0.643
hnsw,cosine,efSearch=20,0.976,0.004313124809414148,0.643
hnsw,cosine,efSearch=40,0.9875,0.008130625064950436,0.643
hnsw,cosine,efSearch=80,0.991,0.013892500137444586,0.643
hnsw,cosine,efSearch=160,0.9935,0.021442085271701217,0.643
hnsw,cosine,efSearch=320,0.9965,0.04525020980508998,0.643
nsg,l2,search_L=16,0.723,0.002894584904424846,2.442
nsg,l2,search_L=32,0.8035,0.004225625016260892,2.442
nsg,l2,search_L=64,0.8605,0.007111045124474913,2.442
nsg,l2,search_L=128,0.9055,0.013955625181552023,2.442
nsg,l2,search_L=256,0.9385,0.0280820851912722,2.442
nsg,ip,search_L=16,0.817,0.0032466702396050096,2.388
nsg,ip,search_L=32,0.886,0.00436708505731076,2.388
nsg,ip,search_L=64,0.923,0.007287499902304262,2.388
nsg,ip,search_L=128,0.946,0.013717289839405566,2.388
nsg,ip,search_L=256,0.9645,0.0259462499525398,2.388
nsg,cosine,search_L=16,0.725,0.004662084975279868,1.665
nsg,cosine,search_L=32,0.884,0.006612915021833032,1.665
nsg,cosine,search_L=64,0.9605,0.008900000248104334,1.665
nsg,cosine,search_L=128,0.974,0.01554520975332707,1.665
nsg,cosine,search_L=256,0.9825,0.02905375004047528,1.665
