method,config,recall@10,latency_ms,build_s,mse,memory_bytes_per_vec
sq_fp16,sq_fp16,0.493,1.9158854201668873,0.061,2.5649381285575146e-08,512
sq_8bit,sq_8bit,0.2545,3.0938297900138423,0.084,3.456226477283053e-05,256
sq_4bit,sq_4bit,0.068,21.786564374924637,0.101,0.011767557822167873,128
pq_64x8,"M=64, nbits=8",0.064,2.5237187498714775,7.39,0.0036324597895145416,64
pq_16x4,"M=16, nbits=4",0.0005,1.0989931249059737,0.59,0.022337066009640694,8
pq_256x4,"M=256, nbits=4",0.052,22.648711249930784,2.944,0.003578778123483062,128
pq_256x8,"M=256, nbits=8",0.728,18.780395415087696,36.648,7.347681821556762e-05,256
rq_4x8,"M=4, nbits=8",0.0125,17.849059790023603,29.903,0.007109723519533873,4
rq_8x8,"M=8, nbits=8",0.025,26.411213124811184,42.178,0.005154785700142384,8
rq_16x8,"M=16, nbits=8",0.056,88.75855749996845,170.611,0.003431734861806035,16
rq_8x4,"M=8, nbits=4",0.007,45.48978458013153,61.033,0.009268268942832947,4
lsq_4x8,"M=4, nbits=8",0.0115,28.661089169909246,96.78,0.007316374219954014,4
lsq_8x8,"M=8, nbits=8",0.0195,51.806668954959605,334.38,0.006285013630986214,8
prq_2x4x8,"nsplits=2, Msub=4, nbits=8",0.0215,29.554447919945233,32.577,0.006507089361548424,8
plsq_2x4x8,"nsplits=2, Msub=4, nbits=8",0.02,32.34728958515916,191.503,0.006781422067433596,8
prq_4x2x8,"nsplits=4, Msub=2, nbits=8",0.01,29.525358334940393,17.081,0.008322910405695438,8
plsq_4x2x8,"nsplits=4, Msub=2, nbits=8",0.0125,27.3893500000122,118.405,0.008288126438856125,8
